OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"1987-051B","COSMOS 1853","18114","CIS","115.48","74.00","1482","1473","MEDIUM","0","1987-06-16",""
"1987-051A","COSMOS 1852","18113","CIS","115.68","74.00","1499","1473","MEDIUM","0","1987-06-16",""
"1987-050D","SL-6 R/B(2)","18106","CIS","707.34","70.00","33650","6188","LARGE","0","1987-06-12",""
"1987-050A","COSMOS 1851","18103","CIS","718.06","70.68","33837","6531","LARGE","0","1987-06-12",""
"1987-049B","SL-8 R/B","18096","CIS","100.25","74.04","786","755","LARGE","0","1987-06-09",""
"1987-049A","COSMOS 1850","18095","CIS","100.48","74.04","792","771","LARGE","0","1987-06-09",""
"1987-043H","USA 25","18025","US","","","","","","0","1987-05-15","NO ELEMENTS AVAILABLE"
"1987-043G","USA 22 DEB","18024","US","","","","","","0","1987-05-15","NO ELEMENTS AVAILABLE"
"1987-043F","USA 24","18010","US","","","","","","0","1987-05-15","NO ELEMENTS AVAILABLE"
"1987-043E","USA 23","18009","US","","","","","","0","1987-05-15","NO ELEMENTS AVAILABLE"
"1987-043D","USA 22 DEB","18008","US","","","","","","0","1987-05-15","NO ELEMENTS AVAILABLE"
"1987-043C","USA 22 DEB","18007","US","","","","","","0","1987-05-15","NO ELEMENTS AVAILABLE"
"1987-043B","ATLAS H R/B","17998","US","","","","","","0","1987-05-15","NO ELEMENTS AVAILABLE"
"1987-043A","USA 22","17997","US","","","","","","0","1987-05-15","NO ELEMENTS AVAILABLE"
"1987-041B","SL-16 R/B","17974","CIS","101.61","71.01","844","825","LARGE","0","1987-05-13",""
"1987-041A","COSMOS 1844","17973","CIS","101.84","70.90","867","824","LARGE","0","1987-05-13",""
"1987-040D","SL-12 R/B(2)","17972","CIS","1397.81","13.18","35104","34964","LARGE","0","1987-05-11",""
"1987-040A","GORIZONT 14","17969","CIS","1474.53","15.47","36655","36416","LARGE","0","1987-05-11",""
"1979-087C","SL-12 R/B(2)","17939","CIS","1432.89","12.55","35884","35563","LARGE","0","1979-10-03",""
"1987-038B","SL-14 R/B","17912","CIS","97.10","82.50","634","607","LARGE","0","1987-04-27",""
"1987-038A","COSMOS 1842","17911","CIS","95.28","82.52","540","525","LARGE","0","1987-04-27",""
"1984-090F","SL-12 R/B(2)","17875","CIS","1421.98","13.55","35569","35451","LARGE","0","1984-08-24",""
"1984-016F","SL-12 R/B(2)","17874","CIS","1435.83","14.07","35934","35628","LARGE","0","1984-02-15",""
"1979-035E","SL-12 R/B(2)","17873","CIS","1437.21","12.51","35924","35692","LARGE","0","1979-04-25",""
"1976-092F","SL-12 R/B(2)","17872","CIS","1436.48","11.08","35853","35735","LARGE","0","1976-09-11",""
"1986-101K","SL-14 DEB","17844","CIS","102.46","82.51","889","861","SMALL","0","1986-12-18",""
